rank,Processor_name,Processor_full_name,brand,url,rating,grade,antutu_v11,gb6_single,gb6_multi,cores,core_config,clock_mhz,gpu
1,Snapdragon 8 Elite Gen 5,Qualcomm Snapdragon 8 Elite Gen 5,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-8-elite-2,97,A+,3932243,3607,10732,8,(2+6),4610 MHz,Adreno 840
2,A19 Pro,Apple A19 Pro,Apple,https://nanoreview.net/en/soc/apple-a19-pro,96,A+,2606807,3992,10688,6,(2+4),4260 MHz,Apple A19 Pro GPU
3,Dimensity 9500,MediaTek Dimensity 9500,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9500,96,A+,3508681,3366,10603,8,(1+3+4),4210 MHz,Mali-G1 Ultra MP12
4,Exynos 2600,Samsung Exynos 2600,Samsung,https://nanoreview.net/en/soc/samsung-exynos-2600,93,A+,3145925,3455,11621,10,(1+3+6),3800 MHz,Samsung Xclipse 960
5,Snapdragon 8 Elite (Gen 4),Qualcomm Snapdragon 8 Elite (Gen 4),Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-8-gen-4,93,A+,3336910,3042,9377,8,(2+6),4320 MHz,Adreno 830
6,Apple A19,Apple A19,Apple,https://nanoreview.net/en/soc/apple-a19,91,A,2239708,3757,9483,6,(2+4),4260 MHz,Apple A19 GPU
7,Dimensity 9500s,MediaTek Dimensity 9500s,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9500s,90,A,3041307,2877,9236,8,(1+3+4),3730 MHz,Mali-G925 MP12
8,Dimensity 9400 Plus,MediaTek Dimensity 9400 Plus,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9400-plus,89,A,2874956,2927,9000,8,(1+3+4),3730 MHz,Mali-G925 MP12
9,Dimensity 9400,MediaTek Dimensity 9400,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9400,88,A,2825187,2809,8810,8,(1+3+4),3620 MHz,Mali-G925 MP12
10,Snapdragon 8 Gen 5,Qualcomm Snapdragon 8 Gen 5,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-8-gen-5,86,A,3082388,2903,9602,8,(2+6),3800 MHz,Adreno 829
11,Xring O1,Xiaomi Xring O1,Xiaomi,https://nanoreview.net/en/soc/xiaomi-xring-o1,86,A,2998904,2746,8431,10,(2+4+2+2),3900 MHz,Mali-G925 MP16
12,Apple A18,Apple A18,Apple,https://nanoreview.net/en/soc/apple-a18,82,A,1918031,3466,8592,6,(2+4),4050 MHz,Apple A18 GPU
13,Exynos 2500,Samsung Exynos 2500,Samsung,https://nanoreview.net/en/soc/samsung-exynos-2500,82,A,2420011,2522,9015,10,(1+2+5+2),3300 MHz,Samsung Xclipse 950
14,A18 Pro,Apple A18 Pro,Apple,https://nanoreview.net/en/soc/apple-a18-pro,82,A,1808835,3570,8923,6,(2+4),4050 MHz,Apple A18 Pro GPU
15,Dimensity 9300,MediaTek Dimensity 9300,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9300,79,A,2415558,2239,7538,8,(1+3+4),3250 MHz,Mali-G720 MP12
16,Dimensity 9400e,MediaTek Dimensity 9400e,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9400e,78,A,2474831,2233,7478,8,(1+3+4),3400 MHz,Mali-G720 MP12
17,Dimensity 9300 Plus,MediaTek Dimensity 9300 Plus,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9300-plus,78,A,2347116,2256,7541,8,(1+3+4),3400 MHz,Mali-G720 MP12
18,Snapdragon 8 Gen 3,Qualcomm Snapdragon 8 Gen 3,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-8-gen-3,77,A,2341391,2201,6753,8,(1+3+2+2),3300 MHz,Adreno 750
19,A17 Pro,Apple A17 Pro,Apple,https://nanoreview.net/en/soc/apple-a17-pro,77,A,1503813,2972,7397,6,(2+4),3780 MHz,Apple A17 GPU
20,Snapdragon 8s Gen 4,Qualcomm Snapdragon 8s Gen 4,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-8s-gen-4,75,A,2301396,2068,6385,8,(1+3+2+2),3210 MHz,Adreno 825
21,A16 Bionic,Apple A16 Bionic,Apple,https://nanoreview.net/en/soc/apple-a16-bionic,75,A,1633145,2630,6744,6,(2+4),3460 MHz,Apple A16 GPU
